id,speed,xstart,xend,ystart,yend
2957,94.3254563633009,174.752989,174.753407,-36.8450697,-36.8481112
2958,97.9202080430491,174.753407,174.7566751,-36.8481112,-36.8580348
2959,74.4781838107755,174.7566751,174.7606622,-36.8580348,-36.8595486
2960,86.6693443795798,174.7606622,174.7671511,-36.8595486,-36.8653506
2961,60.0613223429118,174.7671511,174.7742769,-36.8653506,-36.8721101
2962,NA,174.8001576,174.80022,-36.8641645,-36.86704
2963,NA,174.728,174.7295894,-36.75149,-36.752521
2964,NA,174.8001576,174.80022,-36.8641645,-36.86704
2965,NA,174.84343,174.8436457,-36.94275,-36.9405952
2966,44.3744064187016,174.8387771,174.834653,-36.9085068,-36.9066905
2967,6.32362998563467,174.834653,174.8268887,-36.9066905,-36.9076376
2968,13.3026756686732,174.8128593,174.8042165,-36.9085069,-36.8994587
2969,NA,174.84343,174.8436457,-36.94275,-36.9405952
2970,NA,174.8268887,174.82723,-36.9076376,-36.9083
2971,NA,174.8268887,174.82723,-36.9076376,-36.9083
2972,18.6851360561518,174.7370089,174.7538499,-36.7367487,-36.7394027
2973,NA,174.7705539,174.77162,-36.7871689,-36.78831
2974,NA,174.7705539,174.77162,-36.7871689,-36.78831
2975,NA,174.8409386,174.84343,-36.9411122,-36.94275
2976,NA,174.8409386,174.84343,-36.9411122,-36.94275
2977,NA,174.74377,174.7337474,-36.73939,-36.7313198
2978,16.1017733375411,174.7280058,174.733638,-36.7091852,-36.7040067
2979,22.7553986836324,174.733638,174.7280058,-36.7040067,-36.7091852
2980,37.8612568625991,174.7280058,174.7225642,-36.7091852,-36.7121787
2981,NA,174.6955171,174.69602,-36.7250479,-36.72538
2982,NA,174.74377,174.7337474,-36.73939,-36.7313198
2983,NA,174.6955171,174.69602,-36.7250479,-36.72538
2984,NA,174.69183,174.6909604,-36.75116,-36.7524299
2985,29.2882803267439,174.6909604,174.6908627,-36.7524299,-36.754109
2986,23.5274009071266,174.6908627,174.6948739,-36.754109,-36.754802
2987,8.76908183315467,174.6948739,174.6865661,-36.754802,-36.7552876
2988,6.10120596242909,174.6865661,174.6839226,-36.7552876,-36.7521988
2989,23.0907179501163,174.6839226,174.6865661,-36.7521988,-36.7552876
2990,0,174.6865661,174.6865661,-36.7552876,-36.7552876
2991,29.0714125990454,174.6865661,174.6948739,-36.7552876,-36.754802
2992,15.72407709098,174.6948739,174.6878907,-36.754802,-36.7625225
2993,NA,174.6878907,174.68702,-36.7625225,-36.76274
2994,NA,174.69183,174.6909604,-36.75116,-36.7524299
2995,NA,174.6878907,174.68702,-36.7625225,-36.76274
2996,NA,174.7332269,174.7446145,-36.6957213,-36.7114376
2997,NA,174.7446145,174.7483,-36.7114376,-36.71533
2998,NA,174.7446145,174.7483,-36.7114376,-36.71533
2999,NA,174.68702,174.6878907,-36.76274,-36.7625225
3000,17.0578157728042,174.6878907,174.6948739,-36.7625225,-36.754802
3001,15.3201680325476,174.6948739,174.6908627,-36.754802,-36.754109
3002,24.9492758338929,174.6908627,174.6909604,-36.754109,-36.7524299
3003,NA,174.6909604,174.69335,-36.7524299,-36.75076
3004,NA,174.68702,174.6878907,-36.76274,-36.7625225
3005,NA,174.6909604,174.69335,-36.7524299,-36.75076
3006,NA,174.80598,174.8093459,-36.88632,-36.8865433
3007,16.3039749659043,174.8093459,174.8403007,-36.8865433,-36.8819417
3008,NA,174.8653722,174.86863,-36.8699721,-36.86222
3009,NA,174.80598,174.8093459,-36.88632,-36.8865433
3010,NA,174.8653722,174.86863,-36.8699721,-36.86222
3011,NA,174.7777,174.784999,-36.87896,-36.8826611
3012,23.1788784841031,174.9391042,174.9274581,-36.9058445,-36.9139105
3013,32.700246723309,174.9274581,174.913025,-36.9139105,-36.9262454
3014,NA,174.7777,174.784999,-36.87896,-36.8826611
3015,NA,174.72116,174.7280058,-36.72983,-36.7091852
3016,NA,174.72116,174.7280058,-36.72983,-36.7091852
3017,NA,174.86863,174.8454336,-36.86222,-36.8682595
3018,15.3609748917728,174.8403007,174.8093459,-36.8819417,-36.8865433
3019,NA,174.8093459,174.80924,-36.8865433,-36.88594
3020,NA,174.86863,174.8454336,-36.86222,-36.8682595
3021,NA,174.8093459,174.80924,-36.8865433,-36.88594
3022,NA,174.7280058,174.72166,-36.7091852,-36.72979
3023,NA,174.7280058,174.72166,-36.7091852,-36.72979
3024,NA,174.90755,174.918945,-36.89799,-36.8990645
3025,13.9503659505618,174.933437,174.9274581,-36.8952993,-36.9139105
3026,34.9282674576399,174.9064295,174.9087669,-36.8977532,-36.8895976
3027,NA,174.9087669,174.9105673,-36.8895976,-36.8834286
3028,NA,174.9105673,174.91384,-36.8834286,-36.88191
3029,NA,174.90755,174.918945,-36.89799,-36.8990645
3030,NA,174.9105673,174.91384,-36.8834286,-36.88191
3031,NA,174.7976834,174.79725,-36.8806795,-36.88074
3032,NA,174.7976834,174.79725,-36.8806795,-36.88074
3033,NA,174.73348,174.7384792,-36.80955,-36.8105319
3034,14.5785893760898,174.750779,174.7441607,-36.8121784,-36.8028045
3035,20.7261744577456,174.7480427,174.7419471,-36.7919954,-36.7867888
3036,NA,174.7391155,174.73419,-36.7844303,-36.78485
3037,NA,174.73348,174.7384792,-36.80955,-36.8105319
3038,NA,174.7391155,174.73419,-36.7844303,-36.78485
3039,NA,174.65491,174.6565934,-36.93818,-36.9377066
3040,41.1951654439239,174.6565934,174.6627612,-36.9377066,-36.9258407
3041,38.9512332308483,174.6612177,174.6753571,-36.9218734,-36.9119149
3042,NA,174.6753571,174.6764395,-36.9119149,-36.9103424
3043,NA,174.6764395,174.6773858,-36.9103424,-36.9089575
3044,NA,174.65491,174.6565934,-36.93818,-36.9377066
3045,8.90748780537714,174.6773858,174.6764395,-36.9089575,-36.9103424
3046,9.99051987333352,174.6764395,174.6753571,-36.9103424,-36.9119149
3047,32.9914816982595,174.6753571,174.6612177,-36.9119149,-36.9218734
3048,NA,174.6627612,174.65731,-36.9258407,-36.93773
3049,NA,174.6627612,174.65731,-36.9258407,-36.93773
3050,NA,174.82706,174.8454336,-36.87878,-36.8682595
3051,NA,174.8454336,174.84133,-36.8682595,-36.86295
3052,NA,174.82706,174.8454336,-36.87878,-36.8682595
3053,NA,174.8454336,174.84133,-36.8682595,-36.86295
3054,NA,174.87441,174.8731645,-36.92222,-36.9167147
3055,62.1299065626287,174.8709373,174.8539866,-36.9149349,-36.9110161
3056,29.4932205882865,174.8539866,174.8448361,-36.9110161,-36.9093372
3057,14.936053725379,174.8448361,174.8424185,-36.9093372,-36.9091985
3058,8.73696685875432,174.8424185,174.8406745,-36.9091985,-36.9091508
3059,44.033658914244,174.8406745,174.8387771,-36.9091508,-36.9085068
3060,13.09539172459,174.834653,174.8389952,-36.9066905,-36.9149435
3061,18.0525175012668,174.8406523,174.8473945,-36.9213079,-36.9187974
3062,NA,174.8423207,174.8398027,-36.9277196,-36.9401638
3063,NA,174.8398027,174.83482,-36.9401638,-36.9457
3064,NA,174.87441,174.8731645,-36.92222,-36.9167147
3065,NA,174.8398027,174.83482,-36.9401638,-36.9457
3066,NA,174.83482,174.8398027,-36.9457,-36.9401638
3067,21.869363167918,174.8398027,174.8423207,-36.9401638,-36.9277196
3068,35.9813452201412,174.8473945,174.8413095,-36.9187974,-36.9231898
3069,9.44246666457279,174.8389952,174.834653,-36.9149435,-36.9066905
3070,41.2815552321038,174.8387771,174.8406745,-36.9085068,-36.9091508
3071,46.597156580023,174.8406745,174.8424185,-36.9091508,-36.9091985
3072,29.8721074507581,174.8424185,174.8448361,-36.9091985,-36.9093372
3073,16.4102415967748,174.8448361,174.8464076,-36.9093372,-36.9150984
3074,19.2638858488833,174.8464076,174.8539866,-36.9150984,-36.9110161
3075,47.9137415016882,174.8539866,174.8709373,-36.9110161,-36.9149349
3076,28.8270526489562,174.8709373,174.8731645,-36.9149349,-36.9167147
